id,name,brand_id,cached_brand,image,rating,content,creator_id,phantom,is_brand,created_at,updated_at,preview,slang,default_display,opts
1,ALFA ROMEO,,,alfa_romeo.png,10000,"<h1 style=""font-family: Ubuntu, sans-serif; color: rgb(51, 51, 51);"">Alfa Romeo&nbsp;<small style=""font-size: 17px;"">(рус. Альфа Ромео)</small></h1>

<ul>
	<li><a href=""http://goo.gl/xzcJI"" target=""_blank"">каталог 1</a></li>
	<li><a href=""http://goo.gl/oYTWD"" target=""_blank"">каталог 2</a></li>
</ul>

<p>В вышеперечисленных каталогах вы можете самостоятельно&nbsp;поискать каталожный номер (артикул)&nbsp;интересующей вас запчасти. Сразу оговоримся, что в них&nbsp;не исключены ошибочные сведения. Если вы боитесь ошибиться или не владеете соответствующими знаниями, то рекомендуем просто воспользоваться нашей&nbsp;<a href=""/requests"">формой по подбору запчастей</a>. Вы будете максимально быстро уведомлены посредством смс о подобранной запчасти.</p>

<p>Иначе после перехода по ссылке интересующего вас каталога у вас откроется новое окно браузера, в котором будет представлен автокаталог, т.к. эта справочная информация не принадлежит нам, то непосредственно после щелчка на номере автозапчасти вы попадете в какой-либо магазин, в зависимости от того, чьи интересы представляет автокаталог. Далее вам остается вернуться на наш сайт и просто ввести номер найденной детали в строку поиска на&nbsp;<a href=""/searches/?skip"">странице поиска автозапчастей по номеру</a>. Будьте осторожны с выбором цены, очень часто автомобильные сайты с целью завлечения покупателей предлагают заведомо низкие цены, которые могут предложить только оптовым покупателям, осуществляющим закупку на миллионы рублей в месяц.</p>

<hr />
<p>История создания итальянского автомобиля марки &quot;Alfa Romeo&quot; берет свое начало в 1905 году, когда известный французский автопроизводитель Александр Даррак (Alexandre Darracq) вместе с группой итальянских бизнесменом построили завод в селении Портелло, недалеко от Милана.</p>

<p>Этот завод являлся итальянским филиалом французского предприятия для лицензионного производства двух моделей авто: одна из которых имела одноцилиндровый двигатель мощностью 8 и 10 лс., а другая была оснащена более мощным, двухцилиндровым мотором в 14 лс. Отделение получило название Societa Anonima Italiana Darracq (SAID) - итальянская компания Даррак и предназначалось для расширения сбыта автомобилей этой марки на итальянском рынке.</p>

<p>В 1915 году владельцем компании стал Никола Ромео, который дал компании свое имя.Теперь она называлась &quot;Alfa Romeo&quot;.<br />
&quot;Alfa Romeo&quot; приступает к выпуску небольших автомобилей, которые рассчитаны на массового потребителя. Через пять лет компания начинает проектировать спортивные и гоночные модели. Автомобили компании постоянно принимают участие в разных автосоревнованиях.</p>

<p>Под маркой &quot;Alfa Romeo&quot; производятся автомобили, обладающие высокими ходовыми качествами и технически совершенные в то время. Они далеко опередили конкурентов.<br />
&nbsp;</p>
",2708406,f,t,2014-02-07 12:04:30.283,2015-02-11 20:04:32.050761,"История создания итальянского автомобиля марки ""Alfa Romeo"" берет свое начало в 1905 году, когда известный французский автопроизводитель Александр Даррак (Alexandre Darracq) вместе с группой итальянских бизнесменом построили завод в селении Портелло, недалеко от Милана. Под маркой ""Alfa Romeo"" производятся автомобили, обладающие высокими ходовыми качествами и технически совершенные в то время. Они далеко опередили конкурентов.
",Альфа ромео,f,"{""""}"
2,AUDI,,,audi.png,10000,"<h1>Audi<small> (рус. Ауди)</small></h1>

<ul>
	<li><a href=""http://goo.gl/EYTL2"" target=""_blank"">каталог 1</a></li>
	<li><a href=""http://goo.gl/IPqik"" target=""_blank"">каталог 2</a></li>
	<li><a href=""http://goo.gl/gHMVT"" target=""_blank"">каталог 3</a></li>
	<li><a href=""http://goo.gl/wo72o"" target=""_blank"">каталог 4</a></li>
	<li><a href=""http://goo.gl/uni3I"" target=""_blank"">каталог 5</a></li>
</ul>

<p>В вышеперечисленных каталогах вы можете самостоятельно&nbsp;поискать каталожный номер (артикул)&nbsp;интересующей вас запчасти. Сразу оговоримся, что в них&nbsp;не исключены ошибочные сведения. Если вы боитесь ошибиться или не владеете соответствующими знаниями, то рекомендуем просто воспользоваться нашей&nbsp;<a href=""/requests"">формой по подбору запчастей</a>. Вы будете максимально быстро уведомлены посредством смс о подобранной запчасти.</p>

<p>Иначе после перехода по ссылке интересующего вас каталога у вас откроется новое окно браузера, в котором будет представлен автокаталог, т.к. эта справочная информация не принадлежит нам, то непосредственно после щелчка на номере автозапчасти вы попадете в какой-либо магазин, в зависимости от того, чьи интересы представляет автокаталог. Далее вам остается вернуться на наш сайт и просто ввести номер найденной детали в строку поиска на&nbsp;<a href=""/searches/?skip"">странице поиска автозапчастей по номеру</a>. Будьте осторожны с выбором цены, очень часто автомобильные сайты с целью завлечения покупателей предлагают заведомо низкие цены, которые могут предложить только оптовым покупателям, осуществляющим закупку на миллионы рублей в месяц.</p>
",2708406,f,t,2014-02-07 12:04:30.431,2015-02-11 18:13:37.48037,"","",f,"{""""}"
3,BMW,,,bmw.png,10000,"<h1>BMW<small> (рус. БМВ)</small></h1>

<ul>
	<li><a href=""http://goo.gl/yudTj"" target=""_blank"">каталог 1</a></li>
	<li><a href=""http://goo.gl/oIElD"" target=""_blank"">каталог 2</a></li>
	<li><a href=""http://goo.gl/gMDVX"" target=""_blank"">каталог 3</a></li>
	<li><a href=""http://goo.gl/GXY9M"" target=""_blank"">каталог 4</a></li>
	<li><a href=""http://goo.gl/r86P2"" target=""_blank"">каталог 5</a></li>
	<li><a href=""http://goo.gl/DsF0d"" target=""_blank"">каталог 6</a></li>
</ul>

<p>В вышеперечисленных каталогах вы можете самостоятельно&nbsp;поискать каталожный номер (артикул)&nbsp;интересующей вас запчасти. Сразу оговоримся, что в них&nbsp;не исключены ошибочные сведения. Если вы боитесь ошибиться или не владеете соответствующими знаниями, то рекомендуем просто воспользоваться нашей&nbsp;<a href=""/requests"">формой по подбору запчастей</a>. Вы будете максимально быстро уведомлены посредством смс о подобранной запчасти.</p>

<p>Иначе после перехода по ссылке интересующего вас каталога у вас откроется новое окно браузера, в котором будет представлен автокаталог, т.к. эта справочная информация не принадлежит нам, то непосредственно после щелчка на номере автозапчасти вы попадете в какой-либо магазин, в зависимости от того, чьи интересы представляет автокаталог. Далее вам остается вернуться на наш сайт и просто ввести номер найденной детали в строку поиска на&nbsp;<a href=""/searches/?skip"">странице поиска автозапчастей по номеру</a>. Будьте осторожны с выбором цены, очень часто автомобильные сайты с целью завлечения покупателей предлагают заведомо низкие цены, которые могут предложить только оптовым покупателям, осуществляющим закупку на миллионы рублей в месяц.</p>
",2708406,f,t,2014-02-07 12:04:30.517,2015-02-11 18:13:36.622306,"","",t,"{""""}"
4,DOLZ,,,dolz.png,8000,"<p>&nbsp;Испанская компания Industrias Dolz, S.A., основанная в 1934 году, имеет более чем 70-летний опыт в производстве водяных насосов для легковых автомобилей, грузовиков и тракторов.</p>

<p>&nbsp; &nbsp;Сегодня DOLZ предлагает широкий ассортимент из 600 наименований водяных помп, разработанных на основе детального исследования и анализа мирового парка автомобилей.</p>

<p>Качество компании подтверждается сертификацией производства по ISO 9002, сертификатом Q1 Quality Award от Ford Motor Company;&nbsp;На 20 тысячах квадратных метрах производственных площадей Industrias Dolz S.A. размещается самое современное оборудование для производства водяных насосов.</p>

<p>DOLZ - один из очень немногих производителей, использующих алюминиевое литье, линии механической обработки и сборочное производство;<br />
Следует заметить, что продукцию DOLZ упаковывают в свою оригинальную упаковку многие известные производители водяных помп. Все они имеют отменную репутацию на рынке автозапчастей, но реализуют уже по другой цене. Оригинальная продукция DOLZ- это продукция по великолепной цене от собственной мануфактуры.</p>
",1407941,f,f,2014-02-07 12:04:31.772,2015-02-11 18:12:46.172498,"Испанская компания Industrias Dolz, S.A., основанная в 1934 году, имеет более чем 70-летний опыт в производстве водяных насосов для легковых автомобилей, грузовиков и тракторов.
 Сегодня DOLZ предлагает широкий ассортимент из 600 наименований водяных помп, разработанных на основе детального исследования и анализа мирового парка автомобилей.",Долз,f,"{""""}"
5,SKODA,1380,ŠKODA,,,"<h1>&Scaron;koda<small> (рус. Шкода)</small></h1>

<ul>
	<li><a href=""http://goo.gl/CZfMI"" target=""_blank"">каталог 1</a></li>
	<li><a href=""http://goo.gl/7S29s"" target=""_blank"">каталог 2</a></li>
	<li><a href=""http://goo.gl/ieLDt"" target=""_blank"">каталог 3</a></li>
	<li><a href=""http://goo.gl/nFmPP"" target=""_blank"">каталог 4</a></li>
	<li><a href=""http://goo.gl/3IxW2"" target=""_blank"">каталог 5</a></li>
</ul>

<p>В вышеперечисленных каталогах вы можете самостоятельно&nbsp;поискать каталожный номер (артикул)&nbsp;интересующей вас запчасти. Сразу оговоримся, что в них&nbsp;не исключены ошибочные сведения. Если вы боитесь ошибиться или не владеете соответствующими знаниями, то рекомендуем просто воспользоваться нашей&nbsp;<a href=""/requests"">формой по подбору запчастей</a>. Вы будете максимально быстро уведомлены посредством смс о подобранной запчасти.</p>

<p>Иначе после перехода по ссылке интересующего вас каталога у вас откроется новое окно браузера, в котором будет представлен автокаталог, т.к. эта справочная информация не принадлежит нам, то непосредственно после щелчка на номере автозапчасти вы попадете в какой-либо магазин, в зависимости от того, чьи интересы представляет автокаталог. Далее вам остается вернуться на наш сайт и просто ввести номер найденной детали в строку поиска на&nbsp;<a href=""/searches/?skip"">странице поиска автозапчастей по номеру</a>. Будьте осторожны с выбором цены, очень часто автомобильные сайты с целью завлечения покупателей предлагают заведомо низкие цены, которые могут предложить только оптовым покупателям, осуществляющим закупку на миллионы рублей в месяц.</p>
",2708406,f,t,2014-02-07 12:04:31.81362,2015-02-11 18:13:35.842319,"","",t,"{""""}"
6,RHEE JIN,,,,,,,f,f,2014-02-07 12:04:31.849539,2015-01-20 01:09:57.465221,,,,{}
7,ASVA,,,asva.png,5000,"<p>ftp://ftp.autodoc.ru/export/catalog/katalog_asva_2010.pdf</p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<div>
<div>
<div>Страна: Китай</div>

<div>Сайт:</div>

<div>Онлайн каталог:</div>
</div>
</div>

<div>
<p>Торговая марка ASVA представляет Международную промышленно-торговую группу, объединяющую более 10 заводов, расположенных в Юго-Восточной Азии. Все заводы узкоспециализированны на производстве запчастей для отдельных узлов автомобиля. Поставки автозапчастей ASVA производятся для автомобилей японского, корейского, американского, европейского и российского производства. Компания производит: ШРУСы, помпы водяные, колодки тормозные, детали подвески, наконечники рулевые, сошки рулевые, тяги рулевые, тяги стабилизатора, опоры шаровые, рычаги, крестовины, подшипники (ступичные, роликовые, шариковые, кондиционера, ролики натяжителя), втулки стабилизатора, пыльники, сайлентблоки, ступичные сальники. Все производство АСВА сертифицировано в соответствии с международными стандартами, а продукция имеет сертификаты ISO 9001, ISO 9002, POCТЕСТ.</p>

<p>&nbsp;</p>

<p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; text-align: justify; text-indent: 20px; "">&nbsp;</p>

<p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; text-align: justify; text-indent: 20px; "">&nbsp;</p>

<p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; text-align: justify; text-indent: 20px; "">&nbsp;</p>

<p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; text-align: justify; text-indent: 20px; "">&nbsp;</p>

<p align=""justify"" style=""margin: 0px; padding: 0px; color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; "">Торговая марка &quot;ASVA&quot; представляет Международную промышленно-торговую группу, объединяющую более 10 заводов, расположенных в Юго-Восточной Азии. Каждый из заводов является узкоспециализированным предприятием по производству автозапчастей для отдельных узлов автомобиля. Поставки автозапчастей под маркой &quot;ASVA&quot; производятся для автомобилей японского, корейского, американского, европейского и российского производства. Существует реальная возможность размещения заказов по производству любых деталей. Всё производство сертифицировано в соответствии с международными стандартами, а продукция имеет сертификаты ISO 9001, ISO9002, POCТЕСТ Компания производит: -ШРУСы -Помпы водяные -Колодки тормозные -Подвеска -Наконечники рулевые - Сошки рулевые - Тяги рулевые - Тяги стабилизатора - Опоры шаровые - Рычаги - Крестовины - Подшипники - Ступичные -Роликовые - Шариковые - Kондиционера - Ролики натяжителя - Втулки стабилизатора - Пыльники - Сайленблоки - Ступичные сальники</p>
&nbsp;

<div id=""ya_direct"" style=""margin: 0px; padding: 0px; color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; "">&nbsp;</div>

<p style=""margin: 0px; padding: 0px; color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; "">Страна:&nbsp;<b style=""margin: 0px; padding: 0px; "">Китай</b></p>

<p style=""margin: 0px; padding: 0px; color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; "">Колодки скрипят у 100 % проголосовавших</p>

<table class=""brands_detail_rating"" style=""margin: 0px; padding: 0px; border-collapse: collapse; width: 350px; border: 0px solid rgb(194, 194, 194); color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; "">
	<tbody style=""margin: 0px; padding: 0px; "">
		<tr style=""margin: 0px; padding: 0px; "" valign=""middle"">
			<td style=""margin: 0px; padding: 0px; border: 0px; vertical-align: super; "">Рекомендуют: 0</td>
			<td style=""margin: 0px; padding: 0px; border: 0px; vertical-align: super; width: 200px; "">
			<div class=""line_green"" style=""margin: 5px 0px 0px; padding: 0px; float: left; background-color: green; height: 6px; width: 2px; "">&nbsp;</div>
			</td>
		</tr>
		<tr style=""margin: 0px; padding: 0px; "">
			<td style=""margin: 0px; padding: 0px; border: 0px; vertical-align: super; "">Не рекомендуют: 5</td>
			<td style=""margin: 0px; padding: 0px; border: 0px; vertical-align: super; width: 200px; "">
			<div class=""line_red"" style=""margin: 5px 0px 0px; padding: 0px; float: right; background-color: red; height: 6px; width: 200px; "">&nbsp;</div>
			</td>
		</tr>
	</tbody>
</table>

<p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; text-align: justify; text-indent: 20px; "">&nbsp;</p>
</div>

<p>&nbsp;</p>

<div class=""post-description"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; "">
<h1 class=""title"" style=""margin: 0px; padding: 0px 0px 1px; border: 0px; outline: 0px; font-size: 21px; vertical-align: baseline; background-color: transparent; color: rgb(168, 40, 0); line-height: 1em; font-weight: normal; font-family: Arial, sans-serif; background-position: initial initial; background-repeat: initial initial; "">Asva</h1>
</div>

<div class=""clear"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; clear: both; "">&nbsp;</div>

<div class=""entry-content"" style=""margin: 0px; padding: 5px 0px 0px; border: 0px; outline: 0px; font-size: 13px; vertical-align: baseline; background-color: transparent; line-height: 15px; text-align: justify; background-position: initial initial; background-repeat: initial initial; "">
<div class=""entrypicratingbox"" style=""margin: 0px 0px 0px 10px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: rgb(22, 22, 22); width: 215px; float: right; color: rgb(68, 68, 68); "">
<div class=""post-thumbnail"" style=""margin: 0px 0px 5px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; height: 220px; width: 220px; ""><img alt=""Asva"" class=""post-thumb wp-post-image"" height=""200"" src=""http://autozapchasti24.ru/wp-content/uploads/2011/10/Asva.gif"" style=""margin: 0px; padding: 0px; border: 0px solid rgb(49, 158, 221); outline: 0px; vertical-align: baseline; background-color: transparent; border-top-left-radius: 5px; border-top-right-radius: 5px; border-bottom-right-radius: 5px; border-bottom-left-radius: 5px; display: block; height: 215px; width: 215px; "" title=""Asva"" width=""200"" /></div>

<div class=""entrypicratingstars"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; width: 215px; clear: both; "">&nbsp;</div>
</div>

<p style=""margin: 0px; padding: 6px 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: rgb(22, 22, 22); line-height: 20px; color: rgb(68, 68, 68); "">Торговая марка &laquo;ASVA&raquo; представляет Международную промышленно-торговую группу, объединяющую более 10 заводов, расположенных в Юго-Восточной Азии. Каждый из заводов является узкоспециализированным предприятием по производству автозапчастей для отдельных узлов автомобиля. Поставки автозапчастей под маркой &laquo;ASVA&raquo; производятся для автомобилей японского,&nbsp;корейского, американского, европейского и российского производства. Существует реальная возможность размещения заказов по производству любых деталей. Всё производство сертифицировано в соответствии с международными стандартами, а продукция имеет сертификаты ISO 9001, ISO9002, POCТЕСТ. Компания производит: шрусы, водяные помпы, тормозные колодки, рулевые наконечники, рулевые сошки, тяги, тяги стабилизатора, шаровые опоры, рычаги, крестовины, подшипники, ролики, втулки стабилизатора, пыльники, сайленблоки.</p>

<p style=""margin: 0px; padding: 6px 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: rgb(22, 22, 22); line-height: 20px; color: rgb(68, 68, 68); ""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; "">Страна:</strong>&nbsp;Китай<br />
<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; "">Сайт производителя:</strong><br />
<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; "">Каталог Online:</strong></p>

<div>&nbsp;</div>
</div>

<p>&nbsp;</p>
",1407941,f,f,2014-02-07 12:04:31.884,2015-02-11 18:12:46.197343,"Торговая марка ASVA представляет Международную промышленно-торговую группу, объединяющую более 10 заводов, расположенных в Юго-Восточной Азии. Все заводы узкоспециализированны на производстве запчастей для отдельных узлов автомобиля. Поставки автозапчастей ASVA производятся для автомобилей японского, корейского, американского, европейского и российского производства.",Асва,f,"{""""}"
8,NISSAN,,,nissan.png,10000,"<h1>Nissan<small> (рус. Ниссан)</small></h1>

<ul>
	<li><a href=""http://goo.gl/sFfI9"" target=""_blank"">каталог 1</a></li>
	<li><a href=""http://goo.gl/vnzqS"" target=""_blank"">каталог 2</a></li>
	<li><a href=""http://goo.gl/PQM8P"" target=""_blank"">каталог 3</a></li>
	<li><a href=""http://goo.gl/mPL1M"" target=""_blank"">каталог 4</a></li>
	<li><a href=""http://goo.gl/qai5o"" target=""_blank"">каталог 5</a></li>
	<li><a href=""http://goo.gl/ZvIkh"" target=""_blank"">essi24.ru</a></li>
	<li><a href=""http://goo.gl/xW6qU"" target=""_blank"">каталог 7</a></li>
</ul>

<p>В вышеперечисленных каталогах вы можете самостоятельно&nbsp;поискать каталожный номер (артикул)&nbsp;интересующей вас запчасти. Сразу оговоримся, что в них&nbsp;не исключены ошибочные сведения. Если вы боитесь ошибиться или не владеете соответствующими знаниями, то рекомендуем просто воспользоваться нашей&nbsp;<a href=""/requests"">формой по подбору запчастей</a>. Вы будете максимально быстро уведомлены посредством смс о подобранной запчасти.</p>

<p>Иначе после перехода по ссылке интересующего вас каталога у вас откроется новое окно браузера, в котором будет представлен автокаталог, т.к. эта справочная информация не принадлежит нам, то непосредственно после щелчка на номере автозапчасти вы попадете в какой-либо магазин, в зависимости от того, чьи интересы представляет автокаталог. Далее вам остается вернуться на наш сайт и просто ввести номер найденной детали в строку поиска на&nbsp;<a href=""/searches/?skip"">странице поиска автозапчастей по номеру</a>. Будьте осторожны с выбором цены, очень часто автомобильные сайты с целью завлечения покупателей предлагают заведомо низкие цены, которые могут предложить только оптовым покупателям, осуществляющим закупку на миллионы рублей в месяц.</p>
",2708406,f,t,2014-02-07 12:04:31.92,2015-02-11 18:13:34.863743,"",Ниссан,t,"{""""}"
9,DENSO,,,denso.png,8000,"<p>http://www.densoaftermarket.com/</p>

<p><a href=""http://www.denso.ru/sparkplugs.asp"">http://www.denso.ru/sparkplugs.asp</a></p>

<p>Основанная в 1949, фирма Nippondenso, изменив свое название, была преобразована с 1 октября 1996 в корпорацию DENSO и сейчас является одним из всемирно известных изготовителей автомобильных компонентов.<br />
&nbsp; &nbsp;Причиной изменения названия фирмы послужил тот факт, что прежнее название компании Nippondenso (что означает &quot;Японские электронные запчасти&quot;) больше не отражало всей области деятельности существующей компании, поскольку компания также работает на рынках Европы, Америки и Азии.<br />
Более 40 промышленных предприятий DENSO в 18 странах производят широкий ассортимент изделий высокого качества для автомобильной промышленности. Компания также является одним из самых больших в мире изготовителем компонентов для автомобилей и других транспортных средств. В 1997 году компания DENSO получила Международный сертификат качества QS 9000/ISO 9001.&nbsp;</p>

<p>Чтобы удовлетворять требования своих заказчиков и международного рынка более эффективно, DENSO создала филиалы в 23 странах, такие же как и в Японии.&nbsp;<br />
&nbsp; Номенклатура изделий компании включает в себя:&nbsp;<br />
&bull; электрические автомобильные изделия и продукты электронного управления (включая свечи зажигания);&nbsp;<br />
&bull; кондиционеры и отопители для легковых, грузовых автомобилей и поездов;&nbsp;<br />
&bull; системы управления подачей топлива;&nbsp;<br />
&bull; радиаторы;&nbsp;<br />
&bull; измерители;&nbsp;<br />
&bull; фильтрующие элементы.</p>

<p>Denso &mdash; высокотехнологичная компания, которая самостоятельно разрабатывает и создает материалы, автоматизированные системы производства и продукцию.&nbsp;Denso является вторым крупнейшим производителем автокомпонентов в мире. В Японии Denso стоит на 4 месте в списке гигантов автомобильной индустрии. Занимающая первое место в этом списке Toyota по прежнему остается основным заказчиком компании. При этом Denso активно сотрудничает с Honda, Nissan и большинством других крупных японских и мировых автопроизводителей.</p>
",1407941,f,f,2014-02-07 12:04:31.955,2015-02-11 18:12:46.213832,"Denso — высокотехнологичная компания, которая самостоятельно разрабатывает и создает материалы, автоматизированные системы производства и продукцию. Denso является вторым крупнейшим производителем автокомпонентов в мире. В Японии Denso стоит на 4 месте в списке гигантов автомобильной индустрии. Занимающая первое место в этом списке Toyota по прежнему остается основным заказчиком компании. При этом Denso активно сотрудничает с Honda, Nissan и большинством других крупных японских и мировых автопроизводителей.",Денсо,f,"{""""}"
10,NIBK,,,nibk.png,8000,"<p>История компании уходит в 60-е годы ХХ века.&nbsp;NiBK&nbsp;(Tokyo, Japan)&nbsp;&mdash; признанный лидер в&nbsp;области разработок и&nbsp;применения инновационных технологий в&nbsp;производстве фрикционных&nbsp;материалов для тормозных колодок. Научные исследования и&nbsp;разработка продукта являются основой постоянного роста и&nbsp;успеха NiBK.</p>

<p>NiBK известна в&nbsp;автомобильной индустрии своими высококлассными производственными мощностями и&nbsp;высоко технологичным процессом производства. Использование новейших технологических достижений является не&nbsp;единственным фактором, лежащим в&nbsp;основе высочайшего качества продукции NIBK.&nbsp;Продукция NIBK экспортируется в&nbsp;более чем 30&nbsp;стран мира и&nbsp;покрывает широчайший&nbsp;диапазон автомобилей, выпускаемых Японскими,Европейскими, Американскими и&nbsp;Корейскими производителями. В&nbsp;качестве базовых материалов выступают безасбестовые органические волокна, малоабразивные волокна с&nbsp;низким содержанием металла и&nbsp;несколько типов керамических волокон вместе с&nbsp;различными типами других фрикционных материалов. Состав благоприятен для защиты окружающей среды и&nbsp;характеризуется низким пылеобразованием, поэтому диски автомобиля дольше остаются чистыми.&nbsp;В&nbsp;своих колодках NiBK использует три основных безасбестовых формулы фрикциона, которые удовлетворяют полному ассортименту моделей от&nbsp;легких машин до&nbsp;тяжелых грузовиков. Особое внимание при разработке материалов было уделено бесшумности, силе и&nbsp;равномерности торможения, влиянию на&nbsp;тормозной диск и&nbsp;восстановлению после перегрева.</p>
",1407941,f,f,2014-02-07 12:04:31.991,2015-02-11 18:12:46.222146,"История компании уходит в 60-е годы ХХ века. NiBK (Tokyo, Japan) — признанный лидер в области разработок и применения инновационных технологий в производстве фрикционных материалов для тормозных колодок. Научные исследования и разработка продукта являются основой постоянного роста и успеха NiBK.",Нибк,f,"{""""}"
