id,name,content,model_id,cached_model,creator_id,phantom,created_at,updated_at,from,to,preview
1,1 series (F21) (2012),,1,1 series,,f,2014-02-07 12:04:33.737439,2014-02-07 12:04:33.737439,,,
2,1 series (F20) (2011),,1,1 series,,f,2014-02-07 12:04:33.761397,2014-02-07 12:04:33.761397,,,
3,1 series (E81/E87) (2004),,1,1 series,,f,2014-02-07 12:04:33.770714,2014-02-07 12:04:33.770714,,,
4,1 series Convertible (E88) (2008),,2,1 series Convertible,,f,2014-02-07 12:04:33.789636,2014-02-07 12:04:33.789636,,,
5,1 series Coupe (E82) (2007),,3,1 series Coupe,,f,2014-02-07 12:04:33.873505,2014-02-07 12:04:33.873505,,,
6,1 series M Coupe (E82) (2011),,4,1 series M Coupe,,f,2014-02-07 12:04:33.893056,2014-02-07 12:04:33.893056,,,
7,1500 (1962),,5,1500,,f,2014-02-07 12:04:33.912799,2014-02-07 12:04:33.912799,,,
8,1600 (1964),,6,1600,,f,2014-02-07 12:04:33.931578,2014-02-07 12:04:33.931578,,,
9,1800 (1964),,7,1800,,f,2014-02-07 12:04:33.950633,2014-02-07 12:04:33.950633,,,
10,2000 (1966),,8,2000,,f,2014-02-07 12:04:33.969469,2014-02-07 12:04:33.969469,,,
11,2002 (1968),,9,2002,,f,2014-02-07 12:04:33.988692,2014-02-07 12:04:33.988692,,,
12,3 GT (2013),,10,3 GT,,f,2014-02-07 12:04:34.009013,2014-02-07 12:04:34.009013,,,
13,3 series (F30) (2012),,11,3 series,,f,2014-02-07 12:04:34.029812,2014-02-07 12:04:34.029812,,,
14,3 series (E90) (2005),,11,3 series,,f,2014-02-07 12:04:34.039827,2014-02-07 12:04:34.039827,,,
15,3 series (E46) (1998),,11,3 series,,f,2014-02-07 12:04:34.049451,2014-02-07 12:04:34.049451,,,
16,3 series (E36) (1990),,11,3 series,,f,2014-02-07 12:04:34.058933,2014-02-07 12:04:34.058933,,,
17,3 series (E30) (1984),,11,3 series,,f,2014-02-07 12:04:34.067992,2014-02-07 12:04:34.067992,,,
18,3 series (E21) (1975),,11,3 series,,f,2014-02-07 12:04:34.077162,2014-02-07 12:04:34.077162,,,
19,3 series (E46/5) (2000),,12,3 series Compact,,f,2014-02-07 12:04:34.096106,2014-02-07 12:04:34.096106,,,
20,3 series (E36/5) (1994),,12,3 series Compact,,f,2014-02-07 12:04:34.105989,2014-02-07 12:04:34.105989,,,
21,3 series Convertible (F30) (2012),,13,3 series Convertible,,f,2014-02-07 12:04:34.124994,2014-02-07 12:04:34.124994,,,
22,3 series Convertible (E93) (2007),,13,3 series Convertible,,f,2014-02-07 12:04:34.134205,2014-02-07 12:04:34.134205,,,
23,3 series Convertible (E46) (2000),,13,3 series Convertible,,f,2014-02-07 12:04:34.143475,2014-02-07 12:04:34.143475,,,
24,3 series Convertible (E36) (1993),,13,3 series Convertible,,f,2014-02-07 12:04:34.1533,2014-02-07 12:04:34.1533,,,
