id,title,path,intro,body,date,creator_id,created_at,updated_at,attention
19,Новая продукция ORIPARTS. Высококачественные радиаторы.,Новая продукция ORIPARTS. Высококачественные радиаторы.,"<p><img alt="""" src=""/files/100x100x0/1rfsm9mm7iboc8cg0o008wkcw.jpg"" style=""width: 100px; height: 41px; margin-right: 10px; float: left;"" />Наша эксклюзивная линия высококачественных радиаторов с повышенными прочностными характеристиками разрабатываются и производятся с особым вниманием к деталям и в полном соответствии с OEM спецификациями. Вся продукция проходит обязательное тестирование вакуумом сразу же после схода со сборочной линии. Спрашивайте в <a href=""/deliveries"">магазинах нашей сети.</a></p>
","<p><img alt="""" src=""/files/100x100x0/1rfsm9mm7iboc8cg0o008wkcw.jpg"" style=""width: 100px; height: 41px; margin-right: 10px; float: left;"" />Наша эксклюзивная линия высококачественных радиаторов с повышенными прочностными характеристиками разрабатываются и производятся с особым вниманием к деталям и в полном соответствии с OEM спецификациями. Вся продукция проходит обязательное тестирование вакуумом сразу же после схода со сборочной линии. Спрашивайте в&nbsp;<a href=""/deliveries"" style=""background-color: rgb(255, 255, 255);"">магазинах нашей сети.</a></p>
",2011-09-06 00:03:00,2708406,2014-12-27 00:04:31.545531,2014-12-27 00:05:14.517064,
20,Щётки стеклоочистителей ALCA и HEYNER,Щётки стеклоочистителей ALCA и HEYNER,"<p>В наших магазинах поступление качественных щеток стеклоочестителей! Alca Mobil является одним из ведущих немецких экспортёров по щёткам стеклоочистителя для автомобилей, автопринадлежностям, запчастям и инструменту в среднюю и восточную Европу.</p>
","<div id=""content-area""><!-- Content Area Data -->
<div class=""news-date"">Alca Mobil является одним из ведущих немецких экспортёров по щёткам стеклоочистителя для автомобилей, автопринадлежностям, запчастям и инструменту в среднюю и восточную Европу.</div>

<p>Немецкая компания alca mobil auto accessories gmbh владеет торговыми марками ALCA и HEYNER.</p>

<p>Щётки стеклоочистителя ALCA &ndash; относятся к бюджетному варианту, а щётки HEYNER &ndash; к премиум классу. Отличие щёток HEYNER от ALCA &ndash; у щёток HEYNER толще профиль резинового трущего элемента, что способствует более долгому сроку службы щётки и более качественной очистке стекла за меньшее количество взмахов, а так же в комплект бескаркасных щёток HEYNER входит дополнительный сменный резиновый элемент.</p>

<p>Оригинальные alca&reg;- и HEYNER&reg; щётки стеклоочистителя производятся в соответствии стандартов качества ISO TS16949 автомобильной индустрии и отмечаются следующими признаками качества:</p>

<ol>
	<li>Коррозионноустойчивый, полностью оцинкованной металлический каркас (не пластмасса)</li>
	<li>Аэродинамический профиль для безопасной поездки также при ветре и высоких скоростях.</li>
	<li>Оригинальная качественная резина с Liquid-Fix-Graphit (с жидким графитом) для особенно долговременного использования. Успешно испытана Detroit Testing Laboratory, Inc. U.S.A. с 1.500.000 движениями.</li>
	<li>Адаптер подходит почти на все классические рычаги, включён в упаковку.</li>
	<li>100% контроль качества обеспечивает надёжную работу щёток во все времена года.</li>
	<li>Резину можно заменять.</li>
</ol>

<p>Первоначально основананное в Берлине, семейное предприятие переселилось в 2001году в Шторков (Земля Бранденбург)- непосредственно у автобана А12, как важная транспортная магистраль для трансевропейского транспортного движения. Территория фирмы располагается на больше, чем 10.000 квадратных метров. Там находится управление предприятия с четырьмя современными производственными и складскими помещениями.</p>

<p>Благодаря консеквентному, качественному управлению производством и продуктивным контролем расходов все продукты alca mobil отмечаются превосходным соотношением цены к качеству. Поэтому alca mobil поставляет свой товар покупателям в 26 странах, от Германии, Швеции и Польши до США, Южной Америки и Казахстана.</p>

<p>Благодаря многолетнему опыту, больших размеров производства и низкой себестоимости alca mobil предлагает не дорогие качественные щётки стеклоочистителя практически для всех автомашин.</p>

<p><a href=""http://www.zr.ru/a/256188/"">Отзыв независимой экспертизы журнала &quot;За рулём&quot; по щёткам стеклоочистителя, среди которых приняла участие щётка ALCA</a></p>

<p><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/299/dv91r482968s484ssk84osc4k.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/299/fill_thumb_dv91r482968s484ssk84osc4k.jpg"" /></a>&nbsp;<a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/300/633bcw6on0cgc44ocs4w040cg.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/300/fill_thumb_633bcw6on0cgc44ocs4w040cg.jpg"" /></a><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/301/bbujxwxjc288cc04wsw444oog.jpg"">&nbsp;<img src=""http://avtorif.ru:80/uploads/upload/upload/301/fill_thumb_bbujxwxjc288cc04wsw444oog.jpg"" /></a><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/302/epychi1c5c00880cscgsgcow4.jpg"">&nbsp;<img src=""http://avtorif.ru:80/uploads/upload/upload/302/fill_thumb_epychi1c5c00880cscgsgcow4.jpg"" /></a>&nbsp;<a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/303/4850sleh37y80w8woo8ssk8ck.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/303/fill_thumb_4850sleh37y80w8woo8ssk8ck.jpg"" /></a>&nbsp;<a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/304/784d4utwmf40w444ksksc0cc4.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/304/fill_thumb_784d4utwmf40w444ksksc0cc4.jpg"" /></a></p>

<p>&nbsp;</p>

<div class=""image_gallery"">
<div class=""image_block"">
<div class=""image "">&nbsp;</div>
</div>
</div>
<!-- //Content Area Data --></div>
",2011-06-08 00:27:00,2708406,2014-12-27 00:29:11.47709,2014-12-27 00:36:39.709617,
21,"Поступление новой продукции - Масла ""Такуми""","Поступление новой продукции - Масла ""Такуми""","<p><img alt="""" src=""/files/100x100x0/br2bwmojco0k08co4os44kw04.jpg"" style=""width: 80px; height: 100px; float: left; margin-right: 10px;"" />Моторное масло TAKUMI &ndash; высококачественный продукт, изготовленный на основе базового масла нового поколения HIVI.</p>
","<p><img alt="""" src=""/files/100x100x0/br2bwmojco0k08co4os44kw04.jpg"" style=""width: 80px; height: 100px; float: left; margin-right: 10px;"" />Моторное масло TAKUMI &ndash; высококачественный продукт, изготовленный на основе базового масла нового поколения HIVI.</p>
",2011-03-18 00:38:00,2708406,2014-12-27 00:40:11.819418,2014-12-27 00:40:11.819418,
22,Новая продукция шведского концерна Thule,Новая продукция шведского концерна Thule,"<p><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/308/5ofxfk9egsw80s0csws44sc4o.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/308/fill_thumb_5ofxfk9egsw80s0csws44sc4o.jpg"" style=""float: left; margin-right: 10px; height: 100px; width: 100px;"" /></a></p>

<p>Уважаемые, покупатели и гости магазинов АВТОРИФ! Спешим сообщить, что ассортимент наших магазинов увеличивается! Теперь мы готовы предложить Вам продукцию шведского концерна Thule, одного из ведущих производителей багажников, боксов и аксессуаров для транспортировки грузов.</p>
","<p>Уважаемые, покупатели и гости магазинов АВТОРИФ! Спешим сообщить, что ассортимент наших магазинов увеличивается! Теперь мы готовы предложить Вам продукцию шведского концерна Thule, одного из ведущих производителей багажников, боксов и аксессуаров для транспортировки грузов. Более 70% покупателей багажников в мире выбирают Thule за бескомпромиссное качество продукции, полный охват всех автомобилей и непревзойденный внешний вид. Только Thule предлагает багажники на такие автомобили, как Mitsubishi ASX, Toyota Corolla и Honda CR-X. На всю продукцию распространяется 5-ти летняя гарантия. Thule - безопасно, просто и стильно.</p>

<p><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/306/e20vq4d0k3wo0ws8csws8kook.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/306/fill_thumb_e20vq4d0k3wo0ws8csws8kook.jpg"" /></a>&nbsp;<a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/305/8hx929yeqicccgw0c8kw80sos.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/305/fill_thumb_8hx929yeqicccgw0c8kw80sos.jpg"" /></a><span style=""font-size: 12px; line-height: 17px;"">&nbsp;</span><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/307/5v1p8sqg4zggsscog40cook84.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/307/fill_thumb_5v1p8sqg4zggsscog40cook84.jpg"" /></a></p>

<p>&nbsp;</p>
",2010-11-30 00:40:00,2708406,2014-12-27 00:42:34.688518,2014-12-27 00:47:39.97401,
23,Новая продукция ORIPARTS,Новая продукция ORIPARTS,"<p><img alt="""" src=""/files/100x100x0/6ee8z48inf4soc4ocwccwwkk0.gif"" style=""width: 100px; height: 63px; margin-right: 10px; float: left;"" />Спешим сообщить Вам о включении в наш ассортимент продукции ORIPARTS. Спрашивайте в наших магазинах салонные угольные фильтры этого брэнда, вся продукция сертифицирована, прошла многоуровневые испытания в частных и правительственных лабораториях Японии и Тайваня и в настоящий момент не имеет аналогов по количеству инноваций воплощённых в каждом салонном филтьре.</p>
","<p>Спешим сообщить Вам о включении в наш ассортимент продукции ORIPARTS. Спрашивайте в наших магазинах салонные угольные фильтры этого брэнда, вся продукция сертифицирована, прошла многоуровневые испытания в частных и правительственных лабораториях Японии и Тайваня и в настоящий момент не имеет аналогов по количеству инноваций воплощённых в каждом салонном филтьре. ORIPARTS это новый бренд неоригинальной продукции для автомобилей японских марок разработанный с участием японских и тайваньских производителей. Фильтровальная бумага всех фильтров Oriparts произведена в Японии и имеет наивысший класс защиты от вредных примесей, газов, пыли, органических частиц и других опасных субстанций. Автоматизированная сборка продукции Oriparts, ввиду экономических соображений, производится на Тайване на совместном японско-тайваньском предприятии с соблюдением всех норм технологического процесса и строжайшего контроля качества. Отличительной особенностью салонных фильтров Oriparts является лучшее по сравнению с оригинальной продукцией качество фильтрования воздуха в салоне Вашего автомобиля и абсолютная идентичность с оригинальной продукцией в размерах и прочностных характеристиках. Станьте обладателем лучшего салонного фильтра когда-либо созданного для Вашего здоровья, защитите свой организм и лёгкие Ваших близких!</p>

<p><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/309/3d2cqpyrxomc44gk8sksgwc48.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/309/fill_thumb_3d2cqpyrxomc44gk8sksgwc48.jpg"" /></a></p>

<p>&nbsp;</p>
",2010-11-26 00:51:00,2708406,2014-12-27 00:54:25.446575,2014-12-27 00:58:28.629227,
24,"Поступили в продажу аккумуляторы ""Bosch""","Поступили в продажу аккумуляторы ""Bosch""","<p><img alt="""" src=""/files/4vxwbh6an8u8ocggsc0ows8gk.jpg"" style=""width: 100px; height: 66px; float: left; margin-right: 10px;"" />Аккумуляторы автомобильные Bosch хорошо известны в России и имеют высокую репутацию. Они производятся в различных сериях: Bosch S3, Bosch S4 Silver, Bosch S5 Silver Plus, Bosch S6 AGM, что максимально увеличивает шансы подобрать аккумуляторную батарею к любому автомобилю.</p>
","<p>Аккумуляторы автомобильные Bosch хорошо известны в России и имеют высокую репутацию. Они производятся в различных сериях: Bosch S3, Bosch S4 Silver, Bosch S5 Silver Plus, Bosch S6 AGM, что максимально увеличивает шансы подобрать аккумуляторную батарею к любому автомобилю. Купить автомобильный аккумулятор Bosch - означает получить надежный и быстровостанавливающийся источник электропитания автомобиля на несколько лет. Аккумуляторы Bosch одними из первых производятся с применением технологии лигирования серебром. Автомобильные аккумуляторы Bosch - батареи, не требующие обслуживания, с момента приобретения и до окончания срока эксплуатации аккумулятора.</p>

<p><img alt="""" src=""/files/4vxwbh6an8u8ocggsc0ows8gk.jpg"" style=""width: 161px; height: 106px;"" /></p>
",2010-11-25 00:54:00,2708406,2014-12-27 00:57:26.925582,2014-12-27 00:57:57.037883,
25,"Выгодное предложение от компании ""Новлайн""","Выгодное предложение от компании ""Новлайн""","<p>Поступили в продажу автомобильные коврики в салон (багажник) компании &quot;НОВЛАЙН&quot;. Компания &quot;НОВЛАЙН&quot; помимо ковриков заниамется производством - дефлекторов (окон, капота), брызговиков, защиты картеров и доп. оборудованием (пороги, фаркопы, &quot;кенгурятники&quot;). Заказывая через нас, Вы сэкономите не только время, но и деньги!</p>
","<p>Поступили в продажу автомобильные коврики в салон (багажник) компании &quot;НОВЛАЙН&quot;. Компания &quot;НОВЛАЙН&quot; помимо ковриков заниамется производством - дефлекторов (окон, капота), брызговиков, защиты картеров и доп. оборудованием (пороги, фаркопы, &quot;кенгурятники&quot;). Заказывая через нас, Вы сэкономите не только время, но и деньги!</p>
",2010-10-29 00:59:00,2708406,2014-12-27 00:59:48.050853,2014-12-27 01:00:06.965506,
26,В магазины поступила защита картера «MOTODOR»,В магазины поступила защита картера «MOTODOR»,"<div id=""content-area"">
<p><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/310/10dkv43wvv74o8k4s0kk8swos.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/310/fill_thumb_10dkv43wvv74o8k4s0kk8swos.jpg"" style=""height: 100px; width: 100px; margin-right: 10px; float: left;"" /></a></p>

<p>Защита &laquo;MOTODOR&raquo; выдерживает удары на высокой скорости о камни или неровности дороги, при сильном лобовом столкновении она не мешает двигателю уходить вниз, являясь надежным и безопасным аксессуаром.</p>
<!-- Content Area Data --><!-- //Content Area Data --></div>
","<div>С 2010 года в наших магазинах начаты продажи защиты для картеров автомобилей.&nbsp;Двигатель - сердце автомобиля! А потому его нужно оберегать с особым трепетом. Единственное, что может защитить двигатель автомобиля &ndash; это картер. Именно эта деталь, кажущаяся даже незначительной, является первым препятствием, стоящим на пути к повреждению самой важной детали вашего автомобиля.</div>

<div>Российские дороги способны преподнести самый неприятный и неожиданный сюрприз. Любые предметы, по которым автомобиль проезжает с большой скоростью (будь то камни, или лед), могут приобрести разрушительные свойства. Как следствие, плохо защищенный картер двигателя может быть поврежден, а ремонт двигателя обойдется вам в весьма солидную сумму.</div>

<div>Итак, совершенно очевидно, что после покупки автомобиля, необходимо удостовериться, что он снабжен прочной и надежной защитой двигателя. В случае, когда защита двигателя исправная, но хрупкая, имеет смысл заменить её на более качественный аналог. Сделав незначительные капиталовложения, направленные на покупку защиты картера сегодня, в будущем вы обезопасите свою жизнь, а также в значительной мере увеличите комфорт при вождении даже по разбитым дорогам.</div>

<p>Итак, представим вам защиту двигателя &laquo;Motodor&raquo;, которую смело можно назвать не только надежной, но и долговечной.</p>

<p>Почему стоит приобрести защиту двигателя &laquo;Motodor&raquo; ? Стоит отметить, что в создании защиты картера &laquo;Motodor&raquo; предусмотрено то, что автомобиль может попасть в ДТП. А последствием лобового столкновения может быть то, что двигатель &laquo;уйдет&raquo; в сторону салона, что может лишить жизни сидящих на передних сидениях пассажира и водителя. Но такое не произойдет, если автомобиль снабжен защитой картера &laquo;Motodor&raquo;, конструкция которой рассчитана так, что при лобовом столкновении двигатель уйдет вниз, а не в сторону салона.</p>

<p>Защита картера &laquo;Motodor&raquo; обезопасит не только вашу жизнь, но и жизнь двигателя. Это возможно благодаря применению в его создании горячекатанной стали, а также других материалов, в значительной мере повышающих жесткость конструкции.</p>

<p>Установка защиты картера &laquo;Motodor&raquo; не будет долгой. Геометрические параметры защиты двигателя &laquo;Motodor&raquo; рассчитаны как раз с учетом стандартных отверстий днища. И подбор нужной модели защиты двигателя, и ее установка не вызовут ненужных проблем, а также не повлекут за собой нежелательных потерь времени.</p>

<p>Долговечность &ndash; ещё одно желательное качество любой вещи. &laquo;Motodor&raquo; может порадовать этим качеством автолюбителей. Все модели защиты картера &laquo;Motodor&raquo; обработаны специальными антикоррозийными составами, так что правило &laquo;поставил и забыл&raquo; работает здесь на все сто процентов.</p>

<p><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/311/8u775h467fgg0gkc8s0ggsg08.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/311/fill_thumb_8u775h467fgg0gkc8s0ggsg08.jpg"" /></a>&nbsp;<a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/312/3acdlaqj1fuo8k0w0wc8gosw4.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/312/fill_thumb_3acdlaqj1fuo8k0w0wc8gosw4.jpg"" /></a>&nbsp;<a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/313/5kl6alek6rs444s848cgkw08c.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/313/fill_thumb_5kl6alek6rs444s848cgkw08c.jpg"" /></a><span style=""font-size: 12px; line-height: 17px;"">&nbsp;</span><a class=""image-view"" href=""http://avtorif.ru:80/uploads/upload/upload/314/2iza253atbms0c48w4wsckocg.jpg""><img src=""http://avtorif.ru:80/uploads/upload/upload/314/fill_thumb_2iza253atbms0c48w4wsckocg.jpg"" /></a></p>

<p>&nbsp;</p>
",2010-01-18 01:01:00,2708406,2014-12-27 01:02:40.868694,2014-12-27 01:23:43.837464,
27,Аксессуары Тойота Land Cruiser 200,Аксессуары Тойота Land Cruiser 200,"<p>Самые лучшие&nbsp;<a href=""http://www.avtorif.ru/ru/parts/accessories/#Toyota_Land_Cruiser_200"" style=""background-color: rgb(255, 255, 255);"">предложения по аксессуарам на&nbsp;Toyota Land Cruiser 200</a>&nbsp;только у нас!</p>
","<p>Самые лучшие&nbsp;<a href=""http://www.avtorif.ru/ru/parts/accessories/#Toyota_Land_Cruiser_200"" style=""background-color: rgb(255, 255, 255);"">предложения по аксессуарам на&nbsp;Toyota Land Cruiser 200</a>&nbsp;только у нас!</p>
",2008-02-15 01:05:00,2708406,2014-12-27 01:05:41.097284,2014-12-27 01:05:41.097284,
28,Нам 10 ЛЕТ!!!,Нам 10 ЛЕТ!!!,"<p>Внимание клиентов и партнеров, в сентябре нашей компании исполняется 10 лет, поэтому в связи с празднованием юбилея, 8-9 сентября подразделения АВТОРИФ не работают, приносим свои извинения.</p>
","<p>Внимание клиентов и партнеров, в сентябре нашей компании исполняется 10 лет, поэтому в связи с празднованием юбилея, 8-9 сентября подразделения АВТОРИФ не работают, приносим свои извинения.</p>
",2007-04-12 00:06:00,2708406,2014-12-27 01:06:34.599433,2014-12-27 01:06:34.599433,
