id,voltage,battery_capacity,cold_cranking_amps,length,width,height,base_hold_down,layout,terminal_types,case_size,weight_filled,spare_info_id,creator_id,created_at,updated_at
1,1,70,640,278,175,190,13,0,1,,,1025519,,2014-12-19 12:15:38.210849,2014-12-19 12:15:38.210849
2,1,110,920,393,175,190,13,0,1,,,982406,,2014-12-19 12:15:43.777241,2014-12-19 12:15:43.777241
3,1,56,480,242,175,190,13,0,1,,,1025490,,2014-12-19 12:15:54.737305,2014-12-19 12:15:54.737305
4,1,95,800,353,175,190,13,0,1,,,1025493,,2014-12-19 12:16:08.442074,2014-12-19 12:16:08.442074
5,1,74,680,278,175,190,13,1,1,,,1025495,,2014-12-19 12:16:09.204629,2014-12-19 12:16:09.204629
6,1,60,540,242,175,190,3,1,1,,,1025501,,2014-12-19 12:16:20.118748,2014-12-19 12:16:20.118748
7,1,95,830,306,173,225,1,0,1,,,1025516,,2014-12-19 12:16:39.318377,2014-12-19 12:16:39.318377
8,1,63,610,242,175,190,13,0,1,,,1025511,,2014-12-19 12:16:55.639725,2014-12-19 12:16:55.639725
9,1,45,330,238,129,227,0,0,3,,,1025499,,2014-12-19 12:17:02.185139,2014-12-19 12:17:02.185139
10,1,70,630,261,175,220,1,1,1,,,1025500,,2014-12-19 12:17:17.892409,2014-12-19 12:17:17.892409
11,1,45,330,238,129,227,0,0,1,,,1025492,,2014-12-19 12:17:18.597796,2014-12-19 12:17:18.597796
12,1,100,830,353,175,190,13,0,1,,,1025527,,2014-12-19 12:17:22.744301,2014-12-19 12:17:22.744301
13,1,56,480,242,175,190,13,1,1,,,1025489,,2014-12-19 12:17:40.250965,2014-12-19 12:17:40.250965
14,1,70,640,278,175,175,13,0,1,,,1025510,,2014-12-19 12:18:07.769104,2014-12-19 12:18:07.769104
15,1,65,650,278,175,175,13,0,1,,,981046,,2014-12-19 12:18:32.1752,2014-12-19 12:18:32.1752
16,1,95,830,306,173,225,1,1,1,,,975668,,2014-12-19 12:18:34.115226,2014-12-19 12:18:34.115226
17,1,74,680,278,175,190,13,0,1,,,1025512,,2014-12-19 12:18:42.33294,2014-12-19 12:18:42.33294
18,1,85,800,315,175,175,13,0,1,,,1025525,,2014-12-19 12:18:47.063895,2014-12-19 12:18:47.063895
19,1,60,540,232,173,225,0,0,1,,,980709,,2014-12-19 12:18:52.228951,2014-12-19 12:18:52.228951
20,1,45,330,238,129,227,0,1,1,,,1025506,,2014-12-19 12:19:05.02688,2014-12-19 12:19:05.02688
21,1,74,750,278,175,175,13,0,1,,,1025520,,2014-12-19 12:19:42.467359,2014-12-19 12:19:42.467359
