id,spare_info_id,brand_id,model_id,generation_id,modification_id,cached_brand,cached_model,cached_generation,cached_modification,created_at,updated_at,cached_spare_info
1,1007605,64,10322,110,,FORD,Kuga,2008-2012,,2014-10-12 03:52:58.214367,2014-10-12 03:52:58.214367,91231034B (EGR)
2,1007606,64,10307,111,,FORD,Focus,2005-2011,,2014-10-12 03:53:03.034325,2014-10-12 03:53:03.034325,EGR4930 (EGR)
3,1007607,39,60,112,,LEXUS,RX 330,2003-2009,,2014-10-12 03:54:56.836923,2014-10-12 03:54:56.836923,92492028B (EGR)
4,1007608,58,9464,113,,TOYOTA,Land Cruiser,2008-,,2014-10-12 03:54:57.219677,2014-10-12 03:54:57.219677,92492061B (EGR)
5,1007609,39,61,114,,LEXUS,LX 570,2008-,,2014-10-12 03:54:57.510327,2014-10-12 03:54:57.510327,039261 (EGR)
6,1007610,39,60,112,,LEXUS,RX 330,2003-2009,,2014-10-12 03:54:58.1894,2014-10-12 03:54:58.1894,239090 (EGR)
7,1007611,39,60,112,,LEXUS,RX 330,2003-2009,,2014-10-12 03:54:58.536237,2014-10-12 03:54:58.536237,239090CF (EGR)
8,1007612,38,62,115,,MAZDA,CX 9,2008-,,2014-10-12 03:55:07.431599,2014-10-12 03:55:07.431599,92450026B (EGR)
9,1007613,38,63,116,,MAZDA,Mazda 3,2003-2009,,2014-10-12 03:55:13.90512,2014-10-12 03:55:13.90512,SG3745DS (EGR)
10,1007614,38,63,116,,MAZDA,Mazda 3,2003-2009,,2014-10-12 03:55:14.271945,2014-10-12 03:55:14.271945,SG3746DS (EGR)
11,1007615,38,64,117,,MAZDA,Mazda 6,2013-,,2014-10-12 03:55:16.439106,2014-10-12 03:55:16.439106,NPA11C55150 (NORPLAST)
12,1007616,38,65,118,,MAZDA,CX 5,2011-,,2014-10-12 03:55:21.607487,2014-10-12 03:55:21.607487,NPA00T55060 (NORPLAST)
13,1007617,38,64,117,,MAZDA,Mazda 6,2013-,,2014-10-12 03:55:21.956433,2014-10-12 03:55:21.956433,NPA00T55150 (NORPLAST)
14,1007618,38,64,119,,MAZDA,Mazda 6,2008-2012,,2014-10-12 03:55:26.356502,2014-10-12 03:55:26.356502,NPLP5517 (NORPLAST)
15,1007619,38,66,120,,MAZDA,CX 7,2006-,,2014-10-12 03:55:26.747862,2014-10-12 03:55:26.747862,NPLP5570 (NORPLAST)
16,1007620,8,10233,121,,NISSAN,Patrol,2010-,,2014-10-12 03:56:24.812472,2014-10-12 03:56:24.812472,H08001LL0A (EGR)
17,1007621,8,10176,122,,NISSAN,Almera,2000-2006,,2014-10-12 03:56:26.396555,2014-10-12 03:56:26.396555,91263007B (EGR)
18,1007622,8,10227,123,,NISSAN,Navara,2002-2004,,2014-10-12 03:56:29.416971,2014-10-12 03:56:29.416971,027111 (EGR)
19,1007623,8,68,125,,NISSAN,"Navara,Pathfinder",2005-,,2014-10-12 03:56:30.74556,2014-10-12 03:56:30.74556,027151 (EGR)
20,1007624,8,10226,126,,NISSAN,Murano,2002-2008,,2014-10-12 03:56:31.317067,2014-10-12 03:56:31.317067,027161 (EGR)
21,1007625,8,69,127,,NISSAN,"Qashqai,Qashqai+2",2007-,,2014-10-12 03:56:32.22699,2014-10-12 03:56:32.22699,027181L (EGR)
22,1007626,8,10228,128,,NISSAN,Note,2006-,,2014-10-12 03:56:38.542093,2014-10-12 03:56:38.542093,SG3464DSL (EGR)
23,1007627,8,68,125,,NISSAN,"Navara,Pathfinder",2005-,,2014-10-12 03:56:42.097631,2014-10-12 03:56:42.097631,227150CF (EGR)
24,1007628,8,10226,126,,NISSAN,Murano,2002-2008,,2014-10-12 03:56:42.468048,2014-10-12 03:56:42.468048,227160 (EGR)
25,1007629,8,69,127,,NISSAN,"Qashqai,Qashqai+2",2007-,,2014-10-12 03:56:43.127197,2014-10-12 03:56:43.127197,227180CF (EGR)
26,1007630,8,10241,129,,NISSAN,Primera,2002-2008,,2014-10-12 03:56:45.380475,2014-10-12 03:56:45.380475,EGR3440 (EGR)
27,1007631,8,10176,122,,NISSAN,Almera,2000-2006,,2014-10-12 03:56:46.035053,2014-10-12 03:56:46.035053,EGR3443CF (EGR)
28,1007632,8,10222,130,,NISSAN,Micra,2003-2011,,2014-10-12 03:56:46.268398,2014-10-12 03:56:46.268398,EGR3444 (EGR)
29,1007633,8,10220,131,,NISSAN,Maxima,2000-2006,,2014-10-12 03:56:46.643333,2014-10-12 03:56:46.643333,EGR3460 (EGR)
30,1007634,53,10591,132,,OPEL,Astra,2004-2009,,2014-10-12 03:57:30.220653,2014-10-12 03:57:30.220653,NPLP6306 (NORPLAST)
31,1007635,57,8531,133,,RENAULT,Logan,2004-,,2014-10-12 03:57:37.613463,2014-10-12 03:57:37.613463,NPLP6923 (NORPLAST)
32,1007636,51,10480,134,,HONDA,Accord,ACCORD CB1/CB3/CB7,,2014-10-12 03:57:53.584791,2014-10-12 03:57:53.584791,HM002 (FEBEST)
33,1007637,51,10480,134,,HONDA,Accord,ACCORD CB1/CB3/CB7,,2014-10-12 03:57:53.5948,2014-10-12 03:57:53.5948,50805SM4020 (HONDA)
34,1007638,51,10480,135,,HONDA,Accord,ACCORD CF3/CF4/CF5/CL1/CL3,,2014-10-12 03:58:01.74644,2014-10-12 03:58:01.74644,HSB052 (FEBEST)
35,1007639,51,10480,135,,HONDA,Accord,ACCORD CF3/CF4/CF5/CL1/CL3,,2014-10-12 03:58:01.754515,2014-10-12 03:58:01.754515,51381S1AE01 (HONDA)
36,1007640,51,10480,136,,HONDA,Accord,ACCORD CL#,,2014-10-12 03:58:02.504448,2014-10-12 03:58:02.504448,HSB054 (FEBEST)
37,1007641,51,10480,136,,HONDA,Accord,ACCORD CL#,,2014-10-12 03:58:02.512503,2014-10-12 03:58:02.512503,51631SV7004 (HONDA)
38,1007642,51,10480,136,,HONDA,Accord,ACCORD CL#,,2014-10-12 03:58:09.212133,2014-10-12 03:58:09.212133,TSHB14 (FEBEST)
39,1007643,51,10480,136,,HONDA,Accord,ACCORD CL#,,2014-10-12 03:58:09.222,2014-10-12 03:58:09.222,5524050C00 (HONDA)
40,1007644,58,9404,137,,TOYOTA,Camry,2002-2005,,2014-10-12 03:58:22.587573,2014-10-12 03:58:22.587573,92492045B (EGR)
41,1007645,58,9465,138,,TOYOTA,Land Cruiser Prado,2002-2008,,2014-10-12 03:58:23.185684,2014-10-12 03:58:23.185684,92492046B (EGR)
