id,spare_catalog_id,name,created_at,updated_at,weight
1,4028,МОЛДИНГ,2014-11-16 06:08:23.728118,2015-02-02 07:03:24.343156,3
2,4028,БАМПЕРА,2014-11-16 06:08:23.730995,2015-02-02 07:03:24.343969,2
3,4028,ПЕРЕДНЕГО,2014-11-16 06:08:23.732538,2014-11-16 06:08:23.732538,1
4,2683,КАТАЛИТИЧЕСКИЙ,2014-11-16 06:08:23.734239,2014-11-16 06:08:23.734239,1
5,2683,НЕЙТРАЛИЗАТОР,2014-11-16 06:08:23.735582,2014-11-16 06:08:23.735582,1
6,2684,ПРОКЛАДКА,2014-11-16 06:08:23.737041,2014-11-16 06:08:23.737041,1
7,2684,ВЫПУСКНОЙ,2014-11-16 06:08:23.738348,2014-11-16 06:08:23.738348,1
8,2684,СИСТЕМЫ,2014-11-16 06:08:23.739605,2014-11-16 06:08:23.739605,1
9,2686,ТРУБА,2014-11-16 06:08:23.741006,2014-11-16 06:08:23.741006,1
10,2686,ВЫХЛОПНАЯ,2014-11-16 06:08:23.742345,2014-11-16 06:08:23.742345,1
11,2686,ЗАДНЯЯ,2014-11-16 06:08:23.743625,2014-11-16 06:08:23.743625,1
12,2686,ЧАСТЬ,2014-11-16 06:08:23.744874,2014-11-16 06:08:23.744874,1
13,2687,ТРУБА,2014-11-16 06:08:23.746353,2014-11-16 06:08:23.746353,1
14,2687,ВЫХЛОПНАЯ,2014-11-16 06:08:23.74764,2014-11-16 06:08:23.74764,1
15,2687,ПЕРЕДНЯЯ,2014-11-16 06:08:23.748871,2014-11-16 06:08:23.748871,1
16,2687,ЧАСТЬ,2014-11-16 06:08:23.750047,2014-11-16 06:08:23.750047,1
17,2688,ТРУБА,2014-11-16 06:08:23.751437,2014-11-16 06:08:23.751437,1
18,2688,ВЫХЛОПНАЯ,2014-11-16 06:08:23.752627,2014-11-16 06:08:23.752627,1
19,2688,СРЕДНЯЯ,2014-11-16 06:08:23.753797,2014-11-16 06:08:23.753797,1
20,2688,ЧАСТЬ,2014-11-16 06:08:23.75498,2014-11-16 06:08:23.75498,1
21,2690,ДАТЧИК,2014-11-16 06:08:23.756351,2014-11-16 06:08:23.756351,1
22,2690,ТЕМПЕРАТУРЫ,2014-11-16 06:08:23.757562,2014-11-16 06:08:23.757562,1
23,2690,ВЫХЛОПНЫХ,2014-11-16 06:08:23.758794,2014-11-16 06:08:23.758794,1
