id,name,created_at,updated_at,intro,page,opt,shows
2683,КАТАЛИТИЧЕСКИЙ НЕЙТРАЛИЗАТОР,2014-02-15 00:26:11.398589,2014-02-15 00:26:11.398589,,,,
2684,ПРОКЛАДКА ВЫПУСКНОЙ СИСТЕМЫ,2014-02-15 00:26:11.401969,2014-02-15 00:26:11.401969,,,,
2685,РЕЗОНАТОР,2014-02-15 00:26:11.404701,2014-09-02 01:29:15.853095,"<p>Резонатор &ndash; устройство выхлопной системы автомобиля, необходимое для гашения звуковых колебаний, образующихся вследствие сгорания и выхода газов.</p>

<p>&nbsp;</p>
","<p>Резонатор &ndash; устройство выхлопной системы автомобиля, необходимое для гашения звуковых колебаний, образующихся вследствие сгорания и выхода газов. Через эти камеры проходит труба с отверстиями малого размерами. За счет такой системы происходит разделение газового потока. Когда через трубу проходит газовый поток, происходит погашение звуковых волн. Этим достигается постоянное одинаковое давление выхлопных газов, необходимое для хорошей работы системы выхлопа газов.<br />
В некоторых моделях современных резонаторов используются специальные тепло- и шумоизолирующие материалы для более качественного поглощения и шумов и термозащиты кузова.</p>

<p>&nbsp;</p>
",,
2686,ТРУБА ВЫХЛОПНАЯ - ЗАДНЯЯ ЧАСТЬ,2014-02-15 00:26:11.407273,2014-02-15 00:26:11.407273,,,,
2687,ТРУБА ВЫХЛОПНАЯ - ПЕРЕДНЯЯ ЧАСТЬ,2014-02-15 00:26:11.409511,2014-02-15 00:26:11.409511,,,,
2688,ТРУБА ВЫХЛОПНАЯ - СРЕДНЯЯ ЧАСТЬ,2014-02-15 00:26:11.411792,2014-02-15 00:26:11.411792,,,,
2689,ДАТЧИК КИСЛОРОДНЫЙ,2014-02-15 00:26:11.413987,2014-09-02 15:50:50.829054,"<p>Датчик кислородный (или лямбда-зонд) &ndash; элемент управления системой впрыска горючего автомобиля. Он служит для определения концентрации кислорода в выхлопных газах с целью оптимизации количества составляющих топливно-воздушной смеси, идущей в цилиндры двигателя.</p>
","<p>Датчик кислородный (или лямбда-зонд) &ndash; элемент управления системой впрыска горючего автомобиля. Он служит для определения концентрации кислорода в выхлопных газах с целью оптимизации количества составляющих топливно-воздушной смеси, идущей в цилиндры двигателя.<br />
Принцип работы датчика состоит в том, что поступающая на него информация преобразуется в электрический сигнал и считывается контроллером впрыска топлива.<br />
Основным элементом датчика является керамический наконечник, герметично соединенный с металлическим корпусом, для исключения возможности попадания газов внутрь датчика. Для работы датчика требуется температура более 300 градусов, поэтому он может быть снабжен нагревателем. Также датчики изготавливают из разных материалов: циркониевые или титановые. Датчик кислородный изготавливают из термостойких материалов, он является неразборным и подлежит замене через каждые 60-80 тысяч километров пробега автомобиля.<br />
Основными причинами более ранней замены датчика является использование несоответствующего типа топлива, перегрев датчика, попадание на керамический наконечник каких-либо жидкостей, обрыв подводящих проводов. Это можно заметить по высокому расходу топлива, неустойчивой работой двигателя, загорание лампы &laquo;СНЕСК ЕNGINЕ&raquo; при движении автомобиля.</p>
",,
2690,ДАТЧИК ТЕМПЕРАТУРЫ ВЫХЛОПНЫХ ГАЗОВ,2014-02-15 00:26:11.416277,2014-02-15 00:26:11.416277,,,,
2691,АДАПТЕР ГЛУШИТЕЛЯ,2014-02-15 00:26:11.41842,2014-02-15 00:26:11.41842,,,,
2692,ПРОКЛАДКИ И МОНТАЖНЫЕ ДЕТАЛИ ГЛУШИТЕЛЯ,2014-02-15 00:26:11.420562,2014-02-15 00:26:11.420562,,,,
2693,ХОМУТ,2014-02-15 00:26:11.422744,2014-08-28 17:44:27.717017,"<p>Хомут &ndash; конструктивный элемент стяжного типа, предназначен для герметизации шлангов, чехлов; соединения и крепления труб, магистралей электропроводки и т.д. Фиксация и затяжка хомута обеспечивается за счёт специального механизма.</p>

<p>&nbsp;</p>
","<p>Хомут &ndash; конструктивный элемент стяжного типа, предназначен для герметизации шлангов, чехлов; соединения и крепления труб, магистралей электропроводки и т.д. Фиксация и затяжка хомута обеспечивается за счёт специального механизма.&nbsp;<br />
Материал изготовления: сталь, сталь с напылением цинка, нержавеющая сталь, пластик, прорезиненная сталь.<br />
Рассмотрим виды хомутов, используемых в авто.<br />
Герметизирующий хомут служит для соединения гибких шлангов. По конструкции замка бывает: шплинтовой, винтовой, червячный.<br />
Шплинтовой хомут устаревшая конструкция - не применяется.<br />
В винтовом хомуте в качестве стяжки используется лента или проволока. Недостаток: ослабления от вибраций с течением времени, малая сила затяжки.<br />
Червячный хомут имеет винт с червячной резьбой, а на стягивающей ленте нанесены насечки с необходимым шагом. Вращая винт, происходит затяжка. Хомуты бывают: со сквозными просечками, без сквозных просечек с двусторонними выступами, без сквозных просечек с односторонним выступом наружу. Преимущества &ndash; возможность производить затяжку разным инструментом, большая прочность затяжки. Недостаток &ndash; возможны повреждения наружной поверхности шланга.<br />
Специальные хомуты: для ШРУСа, для выпускных трубопроводов. По конструкции хомуты для пыльников ШРУСа бывают &ndash; зажимные и с шариковым замком. Достоинства - не имеют выступающих поверхностей.&nbsp;<br />
Хомуты для выпускных трубопроводов: с U-образной шпилькой; с разрезной скобой; разъёмный хомут с двумя скобами и опорным кольцом.</p>

<p>&nbsp;</p>
",,
2694,БОЛТ БЛОКА ДВИГАТЕЛЯ,2014-02-15 00:26:11.424874,2014-02-15 00:26:11.424874,,,,
2695,ВАЛ БАЛАНСИРОВОЧНЫЙ ДВИГАТЕЛЯ,2014-02-15 00:26:11.427501,2014-02-15 00:26:11.427501,,,,
