id,from_spare_info_id,to_spare_info_id,from_cached_spare_info,to_cached_spare_info,wrong,created_at,updated_at,notes,notes_invisible,status
1,952838,929297,C1011 (SAKURA),0986452041 (BOSCH),f,2014-10-11 23:23:33.82399,2014-10-11 23:23:33.82399,,,3
2,1007636,1007637,HM002 (FEBEST),50805SM4020 (HONDA),f,2014-10-12 03:57:53.563634,2014-10-12 03:57:53.563634,,,3
3,1007638,1007639,HSB052 (FEBEST),51381S1AE01 (HONDA),f,2014-10-12 03:58:01.737187,2014-10-12 03:58:01.737187,,,3
4,1007640,1007641,HSB054 (FEBEST),51631SV7004 (HONDA),f,2014-10-12 03:58:02.495447,2014-10-12 03:58:02.495447,,,3
19,1007675,1007676,DAC49844042 (FEBEST),44300S3VA61 (ACURA),f,2014-10-12 03:59:19.869636,2014-10-12 03:59:19.869636,,,3
20,1007677,1007678,DAC51894244 (FEBEST),44300S3VA11 (ACURA),f,2014-10-12 03:59:20.186489,2014-10-12 03:59:20.186489,,,3
24,1007685,1007686,HAB128 (FEBEST),52367S0X003 (ACURA),f,2014-10-12 03:59:21.631781,2014-10-12 03:59:21.631781,,,3
35,1007707,1007708,HM068 (FEBEST),50806S3VA01 (ACURA),f,2014-10-12 03:59:26.414982,2014-10-12 03:59:26.414982,,,3
40,1007717,1007718,HMMRVRR (FEBEST),50810S3VA01 (ACURA),f,2014-10-12 03:59:28.757295,2014-10-12 03:59:28.757295,,,3
42,1007721,1007722,HSB056 (FEBEST),52306S3VA00 (ACURA),f,2014-10-12 03:59:29.574128,2014-10-12 03:59:29.574128,,,3
46,1007729,1007730,HSHB005 (FEBEST),51722S3VA01 (ACURA),f,2014-10-12 03:59:30.914013,2014-10-12 03:59:30.914013,,,3
133,1007901,1007902,BMAB010 (FEBEST),33326755472 (BMW),f,2014-10-12 04:00:05.066371,2014-10-12 04:00:05.066371,,,3
134,1007903,1007902,BMAB011 (FEBEST),33326755472 (BMW),f,2014-10-12 04:00:05.519622,2014-10-12 04:00:05.519622,,,3
151,1007935,1007936,1910X3 (FEBEST),31603450566 (BMW),f,2014-10-12 04:00:13.221337,2014-10-12 04:00:13.221337,,,3
167,1007966,1007967,1910X5 (FEBEST),31607565314 (BMW),f,2014-10-12 04:00:19.183167,2014-10-12 04:00:19.183167,,,3
198,1008027,1008028,BMAB008 (FEBEST),33326770952 (BMW),f,2014-10-12 04:00:31.694669,2014-10-12 04:00:31.694669,,,3
199,1008029,1008028,BMAB009 (FEBEST),33326770952 (BMW),f,2014-10-12 04:00:31.997853,2014-10-12 04:00:31.997853,,,3
206,1008042,1008043,BMBJBX5 (FEBEST),31126756491 (BMW),f,2014-10-12 04:00:34.052488,2014-10-12 04:00:34.052488,,,3
207,1008044,1008045,BMBJBX5UP (FEBEST),31126760275 (BMW),f,2014-10-12 04:00:34.360949,2014-10-12 04:00:34.360949,,,3
259,1008146,1008147,1582A15R (FEBEST),A113301030BB (CHERY),f,2014-10-12 04:00:54.327582,2014-10-12 04:00:54.327582,,,3
261,1008150,1008151,CYAB003 (FEBEST),A113301025 (CHERY),f,2014-10-12 04:00:54.970449,2014-10-12 04:00:54.970449,,,3
265,1008158,1008159,1522T11 (FEBEST),T113401300BB (CHERY),f,2014-10-12 04:00:56.414212,2014-10-12 04:00:56.414212,,,3
266,1008160,1008161,CYAB004 (FEBEST),T112909080 (CHERY),f,2014-10-12 04:00:56.772389,2014-10-12 04:00:56.772389,,,3
267,1008162,1008163,CYAB005 (FEBEST),T112909070 (CHERY),f,2014-10-12 04:00:57.712463,2014-10-12 04:00:57.712463,,,3
279,1008186,1008187,1110007A47 (FEBEST),96870388 (CHEVROLET),f,2014-10-12 04:01:02.345797,2014-10-12 04:01:02.345797,,,3
280,1008188,1008189,1110008A47 (FEBEST),96963324 (CHEVROLET),f,2014-10-12 04:01:02.738378,2014-10-12 04:01:02.738378,,,3
281,1008190,1008191,1111SPA (FEBEST),96963323 (CHEVROLET),f,2014-10-12 04:01:03.054858,2014-10-12 04:01:03.054858,,,3
282,1008192,1008193,1111T250 (FEBEST),96870387 (CHEVROLET),f,2014-10-12 04:01:03.34573,2014-10-12 04:01:03.34573,,,3
300,1008228,1008229,1010CAP (FEBEST),96624724 (CHEVROLET),f,2014-10-12 04:01:10.472824,2014-10-12 04:01:10.472824,,,3
306,1008240,1008241,1020CAP (FEBEST),96819162 (CHEVROLET),f,2014-10-12 04:01:12.348147,2014-10-12 04:01:12.348147,,,3
325,1008277,1008278,CHAB011 (FEBEST),96626482 (CHEVROLET),f,2014-10-12 04:01:19.598029,2014-10-12 04:01:19.598029,,,3
355,1008337,1008338,CHAB001RUB (FEBEST),96440047 (CHEVROLET),f,2014-10-12 04:01:30.649384,2014-10-12 04:01:30.649384,,,3
356,1008339,1008340,CHAB001Z (FEBEST),96499160 (CHEVROLET),f,2014-10-12 04:01:31.353696,2014-10-12 04:01:31.353696,,,3
357,1008341,1008342,CHAB002 (FEBEST),96639741 (CHEVROLET),f,2014-10-12 04:01:31.967239,2014-10-12 04:01:31.967239,,,3
358,1008343,1008344,CHAB003 (FEBEST),96440033 (CHEVROLET),f,2014-10-12 04:01:32.445916,2014-10-12 04:01:32.445916,,,3
359,1008345,1008346,CHAB004 (FEBEST),96440041 (CHEVROLET),f,2014-10-12 04:01:32.740836,2014-10-12 04:01:32.740836,,,3
360,1008347,1008348,CHAB005 (FEBEST),96440044 (CHEVROLET),f,2014-10-12 04:01:33.145693,2014-10-12 04:01:33.145693,,,3
361,1008349,1008350,CHAB006RUB (FEBEST),96440024 (CHEVROLET),f,2014-10-12 04:01:33.512766,2014-10-12 04:01:33.512766,,,3
362,1008351,1008342,CHAB006Z (FEBEST),96639741 (CHEVROLET),f,2014-10-12 04:01:33.835373,2014-10-12 04:01:33.835373,,,3
363,1008352,1008342,CHAB007 (FEBEST),96639741 (CHEVROLET),f,2014-10-12 04:01:34.156195,2014-10-12 04:01:34.156195,,,3
390,1008405,1008406,CHAB017 (FEBEST),96859310 (CHEVROLET),f,2014-10-12 04:01:45.583282,2014-10-12 04:01:45.583282,,,3
391,1008407,1008408,CHABLAC1 (FEBEST),96550049 (CHEVROLET),f,2014-10-12 04:01:45.958697,2014-10-12 04:01:45.958697,,,3
515,1008653,1008654,CRSB009 (FEBEST),4228564 (CHRYSLER),f,2014-10-12 04:02:33.748454,2014-10-12 04:02:33.748454,,,3
601,1008862,1008863,FSBEXPF (FEBEST),4L2Z5484DA (FORD),f,2014-10-12 04:03:10.392219,2014-10-12 04:03:10.392219,,,3
625,1008909,1008910,2110FUS (FEBEST),1520669 (FORD),f,2014-10-12 04:03:20.705477,2014-10-12 04:03:20.705477,,,3
626,1008911,1008912,2121FUSLH (FEBEST),1202549 (FORD),f,2014-10-12 04:03:21.088048,2014-10-12 04:03:21.088048,,,3
627,1008913,1008914,2121FUSRH (FEBEST),1202548 (FORD),f,2014-10-12 04:03:21.580757,2014-10-12 04:03:21.580757,,,3
631,1008921,1008922,FDDFUS (FEBEST),1254220 (FORD),f,2014-10-12 04:03:23.736369,2014-10-12 04:03:23.736369,,,3
651,1008961,1008962,2111CB420RH (FEBEST),1552930 (FORD),f,2014-10-12 04:03:32.813064,2014-10-12 04:03:32.813064,,,3
652,1008963,1008964,2111FOCLH (FEBEST),1061868 (FORD),f,2014-10-12 04:03:33.158488,2014-10-12 04:03:33.158488,,,3
653,1008965,1008966,2111FOCRH (FEBEST),1349157 (FORD),f,2014-10-12 04:03:33.483628,2014-10-12 04:03:33.483628,,,3
660,1008979,1008980,2116FOC20 (FEBEST),1061888 (FORD),f,2014-10-12 04:03:35.979056,2014-10-12 04:03:35.979056,,,3
672,1009003,1009004,2123CB4R (FEBEST),1719542 (FORD),f,2014-10-12 04:03:41.511652,2014-10-12 04:03:41.511652,,,3
674,1009007,1009008,2123FOCIF (FEBEST),AS4Z5K484A (FORD),f,2014-10-12 04:03:42.180336,2014-10-12 04:03:42.180336,,,3
679,1009017,1009018,2125FOCUP (FEBEST),1448127 (FORD),f,2014-10-12 04:03:44.166854,2014-10-12 04:03:44.166854,,,3
698,1009055,1009056,AS3058202RS (FEBEST),4106404 (FORD),f,2014-10-12 04:03:51.107005,2014-10-12 04:03:51.107005,,,3
703,1009065,1009066,FDAB021 (FEBEST),1251934 (FORD),f,2014-10-12 04:03:53.281392,2014-10-12 04:03:53.281392,,,3
711,1009081,1009082,FDDCB3 (FEBEST),1069504 (FORD),f,2014-10-12 04:03:56.815557,2014-10-12 04:03:56.815557,,,3
723,1009105,1009106,FMFOC4 (FEBEST),1695011 (FORD),f,2014-10-12 04:04:01.631225,2014-10-12 04:04:01.631225,,,3
730,1009119,1009120,2120CBVRH (FEBEST),1723323 (FORD),f,2014-10-12 04:04:04.21503,2014-10-12 04:04:04.21503,,,3
731,1009121,1009122,FDAB008 (FEBEST),1502731 (FORD),f,2014-10-12 04:04:04.609692,2014-10-12 04:04:04.609692,,,3
735,1009129,1009130,2110GE (FEBEST),4106369 (FORD),f,2014-10-12 04:04:05.721278,2014-10-12 04:04:05.721278,,,3
743,1009145,1009146,2111GELH (FEBEST),1447556 (FORD),f,2014-10-12 04:04:07.306757,2014-10-12 04:04:07.306757,,,3
744,1009147,1009148,2111GERH (FEBEST),1447553 (FORD),f,2014-10-12 04:04:07.626717,2014-10-12 04:04:07.626717,,,3
761,1009181,1009182,2123GER (FEBEST),1127648 (FORD),f,2014-10-12 04:04:11.423793,2014-10-12 04:04:11.423793,,,3
764,1009187,1009188,AS4575192RS (FEBEST),1524072 (FORD),f,2014-10-12 04:04:12.261168,2014-10-12 04:04:12.261168,,,3
765,1009189,1009190,DAC40750037MKIT (FEBEST),1133023 (FORD),f,2014-10-12 04:04:12.403109,2014-10-12 04:04:12.403109,,,3
768,1009195,1009196,FDAB009 (FEBEST),1206474 (FORD),f,2014-10-12 04:04:12.990399,2014-10-12 04:04:12.990399,,,3
769,1009197,1009198,FDAB010 (FEBEST),1214290 (FORD),f,2014-10-12 04:04:13.128138,2014-10-12 04:04:13.128138,,,3
770,1009199,1009200,FDAB011 (FEBEST),1404976 (FORD),f,2014-10-12 04:04:13.470127,2014-10-12 04:04:13.470127,,,3
772,1009203,1009204,FDAB014 (FEBEST),1202268 (FORD),f,2014-10-12 04:04:14.707271,2014-10-12 04:04:14.707271,,,3
773,1009205,1009204,FDAB015 (FEBEST),1202268 (FORD),f,2014-10-12 04:04:14.843032,2014-10-12 04:04:14.843032,,,3
780,1009217,1009218,FDABCA2R (FEBEST),1437191 (FORD),f,2014-10-12 04:04:16.166213,2014-10-12 04:04:16.166213,,,3
785,1009227,1009228,FDCBGE (FEBEST),1094821 (FORD),f,2014-10-12 04:04:17.281987,2014-10-12 04:04:17.281987,,,3
786,1009229,1009230,FDDGER (FEBEST),1151390 (FORD),f,2014-10-12 04:04:17.639401,2014-10-12 04:04:17.639401,,,3
787,1009231,1009232,FDDMGE (FEBEST),1307842 (FORD),f,2014-10-12 04:04:17.789584,2014-10-12 04:04:17.789584,,,3
791,1009239,1009240,FMGE (FEBEST),1123542 (FORD),f,2014-10-12 04:04:18.446953,2014-10-12 04:04:18.446953,,,3
794,1009245,1009246,FSBGER (FEBEST),1124418 (FORD),f,2014-10-12 04:04:19.043616,2014-10-12 04:04:19.043616,,,3
795,1009247,1009248,FSBMGEF (FEBEST),1118695 (FORD),f,2014-10-12 04:04:19.455869,2014-10-12 04:04:19.455869,,,3
796,1009249,1009250,FSHBTC7 (FEBEST),1105883 (FORD),f,2014-10-12 04:04:19.792655,2014-10-12 04:04:19.792655,,,3
797,1009251,1009252,FSSCA2R (FEBEST),1437051 (FORD),f,2014-10-12 04:04:19.925124,2014-10-12 04:04:19.925124,,,3
798,1009253,1009254,FSSGER (FEBEST),1303625 (FORD),f,2014-10-12 04:04:20.175195,2014-10-12 04:04:20.175195,,,3
